ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue,Suspicious
Rep10101,C21116,PR6112,182,1665,indeterminate
Rep10102,C21116,PR6112,182,1740,indeterminate
Rep10103,C21116,PR6253,101,1040,indeterminate
Rep10104,C21116,PR6253,283,4495,No
Rep10105,C21116,PR6294,108,1465,indeterminate
Rep10106,C21116,PR6253,421,6655,indeterminate
Rep10107,C21116,PR6294,117,1860,indeterminate
Rep10108,C21116,PR6253,103,1120,indeterminate
Rep10109,C21116,PR6112,182,1740,indeterminate
Rep10110,C21116,PR6297,150,2300,indeterminate
Rep10111,C21918,PR6473,96,1005,indeterminate
Rep10112,C21918,PR6474,107,1025,indeterminate
Rep10113,C21918,PR6142,138,3070,indeterminate
Rep10114,C21918,PR6245,110,1495,indeterminate
Rep10115,C21918,PR6473,101,1005,indeterminate
Rep10116,C21918,PR6388,113,1115,indeterminate
Rep10117,C21918,PR6112,101,1030,indeterminate
Rep10118,C21918,PR6320,103,1035,indeterminate
Rep10119,C21918,PR6320,138,2315,indeterminate
Rep10120,C21918,PR6206,150,1105,indeterminate
Rep10121,C21918,PR6112,112,1100,indeterminate
Rep10122,C21918,PR6474,110,1040,indeterminate
Rep10123,C21918,PR6142,128,1550,indeterminate
Rep10124,C21918,PR6320,112,1150,indeterminate
Rep10125,C21918,PR6161,108,1120,indeterminate
Rep10126,C21918,PR6604,103,1035,indeterminate
Rep10127,C21918,PR6320,106,1290,indeterminate
Rep10128,C21918,PR6142,117,2795,indeterminate
Rep10129,C21918,PR6320,104,1050,indeterminate
Rep10130,C21918,PR6156,195,1450,indeterminate
Rep10131,C21918,PR6388,140,1215,indeterminate
Rep10132,C21918,PR6116,180,1455,indeterminate
Rep10133,C21918,PR6157,148,1130,indeterminate
Rep10134,C21918,PR6388,106,1060,indeterminate
Rep10135,C21918,PR6226,100,1035,indeterminate
Rep10136,C21918,PR6410,473,1070,indeterminate
Rep10137,C21918,PR6206,488,1660,indeterminate
Rep10138,C21918,PR6157,449,1590,indeterminate
Rep10139,C21918,PR6388,107,1225,indeterminate
Rep10140,C21918,PR6226,143,1195,indeterminate
